Distance,angle
25,1.06
30,1.42
35,1.77
40,2.12
45,2.46
50,2.79
55,3.12
60,3.44
65,3.76
70,4.08
75,4.4
80,4.71
85,5.02
90,5.33
95,5.64
100,5.95
105,6.26
110,6.57
115,6.89
120,7.2
125,7.52
130,7.84
135,8.16
140,8.49
145,8.83
150,9.16
155,9.51
160,9.86
165,10.22
170,10.58
175,10.95
180,11.33
185,11.72
190,12.12
195,12.53
200,12.95
205,13.38
210,13.82
215,14.28
220,14.75
225,15.23
230,15.72
235,16.23
240,16.75
245,17.29
250,17.84
255,18.41
260,19
265,19.6
270,20.22
275,20.86
280,21.52
285,22.2
290,22.89
295,23.61
300,24.35
305,25.11
310,25.9
315,26.7
320,27.53
325,28.38
330,29.26
335,30.16
340,31.08
345,32.04
350,33.01
355,34.02
360,35.05
365,36.11
370,37.2
375,38.32
